1,1
2,1
3,2
4,2
5,3
6,4
7,5
8,6
9,7
10,8
11,9
12,9
13,10
14,10
15,11
16,12
17,13
18,14
19,15
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,17
28,18
29,19
30,20
31,20
32,20
33,21
34,21
35,22
36,23
37,23
38,24
39,25
40,26
41,26
42,26
43,26
44,26
45,26
46,26
47,26
48,26
49,26
50,28
51,27
52,27
53,27
54,29
55,30
56,31
57,31
58,32
59,32
60,32
61,32
62,32
63,32
64,32
65,32
66,32
67,33
68,35
69,36
70,37
71,37
72,37
73,37
74,37
75,38
77,39
78,39
79,40
81,42
82,43
83,43
84,44
85,45
86,46
87,47
88,48
89,48
90,49
91,50
92,50
93,51
94,52
95,52
96,53
97,54
98,55
99,55
100,56
101,57
102,58
103,58
104,58
105,58
106,59
107,60
108,60
